city,state,geoid,Total housing units,Vacant housing units,Occupied housing units,Owner occupied housing units,Renter occupied housing units,Median gross rent,Total households,Family households,Family households - Married couple family,Family households - Other family,"Family households - Other family - M householder,no wife","Family households - Other family - F householder,no husband",Nonfamily households,Nonfamily households - Householder living alone,Nonfamily households - Householder not living alone,Total household population,In family households,In family households - married couple,In family households - married couple - Relatives,In family households - married couple - Nonrelatives,"In family households - M householder,no wife","In family households - M householder,no wife - Relatives","In family households - M householder,no wife - Nonrelatives","In family households - F householder,no husband","In family households - F householder,no husband - Relatives","In family households - F householder,no husband - Nonrelatives",In nonfamily households
"Buttzville","New Jersey","16000US3409100",26.0,0.0,26.0,26.0,0.0,,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Byram Center","New Jersey","16000US3409170",9.0,0.0,9.0,9.0,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
"Caldwell","New Jersey","16000US3409250",3679.0,234.0,3445.0,1684.0,1761.0,1311.0,3445.0,1872.0,1383.0,489.0,114.0,375.0,1573.0,1425.0,148.0,7396.0,5632.0,4321.0,4318.0,3.0,251.0,251.0,0.0,1060.0,1040.0,20.0,1764.0
"Califon","New Jersey","16000US3409280",435.0,8.0,427.0,371.0,56.0,1604.0,427.0,346.0,323.0,23.0,6.0,17.0,81.0,61.0,20.0,1294.0,1181.0,1105.0,1105.0,0.0,22.0,20.0,2.0,54.0,49.0,5.0,113.0
"Camden","New Jersey","16000US3410000",29473.0,5144.0,24329.0,9130.0,15199.0,841.0,24329.0,16403.0,4207.0,12196.0,1681.0,10515.0,7926.0,6213.0,1713.0,74548.0,64029.0,15564.0,15564.0,0.0,6150.0,5725.0,425.0,42315.0,40746.0,1569.0,10519.0
"Cape May","New Jersey","16000US3410270",4239.0,2491.0,1748.0,908.0,840.0,835.0,1748.0,1014.0,818.0,196.0,17.0,179.0,734.0,683.0,51.0,3187.0,2404.0,1989.0,1978.0,11.0,30.0,30.0,0.0,385.0,369.0,16.0,783.0
"Cape May Court House","New Jersey","16000US3410300",2724.0,386.0,2338.0,1568.0,770.0,1114.0,2338.0,1468.0,1157.0,311.0,146.0,165.0,870.0,837.0,33.0,4749.0,3863.0,3149.0,3112.0,37.0,259.0,259.0,0.0,455.0,455.0,0.0,886.0
"Cape May Point","New Jersey","16000US3410330",480.0,377.0,103.0,96.0,7.0,,103.0,57.0,49.0,8.0,8.0,0.0,46.0,46.0,0.0,155.0,109.0,96.0,96.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,46.0
"Carlstadt","New Jersey","16000US3410480",2243.0,118.0,2125.0,1234.0,891.0,1315.0,2125.0,1629.0,1361.0,268.0,91.0,177.0,496.0,480.0,16.0,6161.0,5649.0,4789.0,4742.0,47.0,237.0,223.0,14.0,623.0,623.0,0.0,512.0
"Carneys Point","New Jersey","16000US3410600",3271.0,276.0,2995.0,1911.0,1084.0,874.0,2995.0,1809.0,1286.0,523.0,132.0,391.0,1186.0,987.0,199.0,7223.0,5839.0,4153.0,4111.0,42.0,381.0,326.0,55.0,1305.0,1187.0,118.0,1384.0
