city,state,geoid,Total housing units,Vacant housing units,Occupied housing units,Owner occupied housing units,Renter occupied housing units,Median gross rent,Total households,Family households,Family households - Married couple family,Family households - Other family,"Family households - Other family - M householder,no wife","Family households - Other family - F householder,no husband",Nonfamily households,Nonfamily households - Householder living alone,Nonfamily households - Householder not living alone,Total household population,In family households,In family households - married couple,In family households - married couple - Relatives,In family households - married couple - Nonrelatives,"In family households - M householder,no wife","In family households - M householder,no wife - Relatives","In family households - M householder,no wife - Nonrelatives","In family households - F householder,no husband","In family households - F householder,no husband - Relatives","In family households - F householder,no husband - Nonrelatives",In nonfamily households
"Edgewater","New Jersey","16000US3420020",6218.0,448.0,5770.0,2037.0,3733.0,2001.0,5770.0,2988.0,2399.0,589.0,141.0,448.0,2782.0,2408.0,374.0,11423.0,8233.0,6538.0,6516.0,22.0,358.0,346.0,12.0,1337.0,1272.0,65.0,3190.0
"Egg Harbor City","New Jersey","16000US3420350",1655.0,146.0,1509.0,950.0,559.0,827.0,1509.0,994.0,571.0,423.0,176.0,247.0,515.0,408.0,107.0,4207.0,3566.0,2020.0,1985.0,35.0,656.0,581.0,75.0,890.0,867.0,23.0,641.0
"Elizabeth","New Jersey","16000US3421000",43894.0,4840.0,39054.0,9664.0,29390.0,1032.0,39054.0,27388.0,14016.0,13372.0,2622.0,10750.0,11666.0,9430.0,2236.0,123971.0,108770.0,54742.0,53489.0,1253.0,11012.0,9144.0,1868.0,43016.0,38806.0,4210.0,15201.0
"Ellisburg","New Jersey","16000US3421120",1904.0,85.0,1819.0,1029.0,790.0,995.0,1819.0,1070.0,842.0,228.0,77.0,151.0,749.0,697.0,52.0,4543.0,3727.0,3093.0,3012.0,81.0,231.0,190.0,41.0,403.0,371.0,32.0,816.0
"Elmer","New Jersey","16000US3421240",540.0,64.0,476.0,354.0,122.0,1110.0,476.0,368.0,262.0,106.0,46.0,60.0,108.0,97.0,11.0,1270.0,1148.0,815.0,804.0,11.0,166.0,149.0,17.0,167.0,156.0,11.0,122.0
"Elmwood Park","New Jersey","16000US3421300",7523.0,292.0,7231.0,4436.0,2795.0,1331.0,7231.0,5312.0,3866.0,1446.0,369.0,1077.0,1919.0,1706.0,213.0,19433.0,17205.0,12899.0,12853.0,46.0,1108.0,1068.0,40.0,3198.0,3082.0,116.0,2228.0
"Elwood","New Jersey","16000US3421420",639.0,61.0,578.0,507.0,71.0,1347.0,578.0,416.0,333.0,83.0,0.0,83.0,162.0,99.0,63.0,1946.0,1721.0,1465.0,1465.0,0.0,0.0,0.0,0.0,256.0,190.0,66.0,225.0
"Emerson","New Jersey","16000US3421450",2518.0,17.0,2501.0,2173.0,328.0,1247.0,2501.0,2039.0,1672.0,367.0,65.0,302.0,462.0,341.0,121.0,7228.0,6600.0,5534.0,5398.0,136.0,159.0,159.0,0.0,907.0,851.0,56.0,628.0
"Englewood","New Jersey","16000US3421480",11671.0,1069.0,10602.0,5775.0,4827.0,1275.0,10602.0,6437.0,4182.0,2255.0,583.0,1672.0,4165.0,3611.0,554.0,27222.0,22372.0,13851.0,13550.0,301.0,1954.0,1759.0,195.0,6567.0,6277.0,290.0,4850.0
"Englewood Cliffs","New Jersey","16000US3421510",1982.0,139.0,1843.0,1713.0,130.0,2001.0,1843.0,1597.0,1376.0,221.0,101.0,120.0,246.0,191.0,55.0,5242.0,4918.0,4284.0,4284.0,0.0,279.0,269.0,10.0,355.0,349.0,6.0,324.0
"Englishtown","New Jersey","16000US3421570",732.0,60.0,672.0,445.0,227.0,1305.0,672.0,444.0,320.0,124.0,36.0,88.0,228.0,185.0,43.0,1724.0,1450.0,1097.0,1093.0,4.0,98.0,95.0,3.0,255.0,243.0,12.0,274.0
"Erma","New Jersey","16000US3421660",861.0,77.0,784.0,659.0,125.0,786.0,784.0,608.0,484.0,124.0,18.0,106.0,176.0,106.0,70.0,1857.0,1594.0,1255.0,1248.0,7.0,37.0,32.0,5.0,302.0,302.0,0.0,263.0
"Essex Fells","New Jersey","16000US3421840",754.0,52.0,702.0,652.0,50.0,1972.0,702.0,584.0,525.0,59.0,10.0,49.0,118.0,97.0,21.0,2125.0,1976.0,1816.0,1816.0,0.0,23.0,23.0,0.0,137.0,133.0,4.0,149.0
"Estell Manor","New Jersey","16000US3421870",712.0,115.0,597.0,579.0,18.0,1333.0,597.0,491.0,411.0,80.0,36.0,44.0,106.0,85.0,21.0,1663.0,1534.0,1315.0,1307.0,8.0,88.0,83.0,5.0,131.0,121.0,10.0,129.0
"Fair Haven","New Jersey","16000US3422440",2158.0,50.0,2108.0,1993.0,115.0,1190.0,2108.0,1584.0,1492.0,92.0,8.0,84.0,524.0,402.0,122.0,6097.0,5432.0,5153.0,5139.0,14.0,25.0,17.0,8.0,254.0,223.0,31.0,665.0
"Fair Lawn","New Jersey","16000US3422470",11723.0,207.0,11516.0,8838.0,2678.0,1385.0,11516.0,8646.0,6837.0,1809.0,530.0,1279.0,2870.0,2370.0,500.0,32493.0,28827.0,22987.0,22895.0,92.0,1976.0,1637.0,339.0,3864.0,3628.0,236.0,3666.0
"Fairton","New Jersey","16000US3422530",553.0,70.0,483.0,384.0,99.0,947.0,483.0,310.0,218.0,92.0,14.0,78.0,173.0,144.0,29.0,1281.0,1070.0,795.0,783.0,12.0,42.0,37.0,5.0,233.0,220.0,13.0,211.0
"Fairview","New Jersey","16000US3422560",5186.0,337.0,4849.0,1893.0,2956.0,1190.0,4849.0,3260.0,1892.0,1368.0,341.0,1027.0,1589.0,1188.0,401.0,13883.0,11473.0,6875.0,6865.0,10.0,1236.0,936.0,300.0,3362.0,3167.0,195.0,2410.0
"Fairview","New Jersey","16000US3422740",1357.0,17.0,1340.0,1245.0,95.0,2001.0,1340.0,1011.0,856.0,155.0,64.0,91.0,329.0,289.0,40.0,3717.0,3345.0,2876.0,2876.0,0.0,197.0,181.0,16.0,272.0,267.0,5.0,372.0
"Fanwood","New Jersey","16000US3422860",2534.0,87.0,2447.0,2266.0,181.0,1451.0,2447.0,2004.0,1662.0,342.0,119.0,223.0,443.0,406.0,37.0,7262.0,6779.0,5568.0,5498.0,70.0,448.0,352.0,96.0,763.0,730.0,33.0,483.0
"Far Hills","New Jersey","16000US3422890",377.0,13.0,364.0,296.0,68.0,1365.0,364.0,246.0,208.0,38.0,10.0,28.0,118.0,97.0,21.0,1014.0,855.0,710.0,710.0,0.0,29.0,29.0,0.0,116.0,107.0,9.0,159.0
"Farmingdale","New Jersey","16000US3422950",599.0,32.0,567.0,291.0,276.0,1169.0,567.0,368.0,255.0,113.0,29.0,84.0,199.0,173.0,26.0,1307.0,1077.0,731.0,731.0,0.0,98.0,85.0,13.0,248.0,238.0,10.0,230.0
"Fieldsboro","New Jersey","16000US3423250",181.0,6.0,175.0,109.0,66.0,1054.0,175.0,141.0,103.0,38.0,0.0,38.0,34.0,24.0,10.0,547.0,478.0,363.0,360.0,3.0,0.0,0.0,0.0,115.0,113.0,2.0,69.0
"Finderne","New Jersey","16000US3423310",2434.0,116.0,2318.0,1340.0,978.0,1490.0,2318.0,1392.0,1058.0,334.0,60.0,274.0,926.0,774.0,152.0,6053.0,4934.0,3798.0,3635.0,163.0,226.0,196.0,30.0,910.0,848.0,62.0,1119.0
"Finesville","New Jersey","16000US3423340",39.0,0.0,39.0,39.0,0.0,,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,101.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Flemington","New Jersey","16000US3423700",2070.0,92.0,1978.0,713.0,1265.0,1251.0,1978.0,1069.0,720.0,349.0,83.0,266.0,909.0,834.0,75.0,4435.0,3447.0,2118.0,2108.0,10.0,357.0,286.0,71.0,972.0,851.0,121.0,988.0
"Florence","New Jersey","16000US3423820",2133.0,311.0,1822.0,1407.0,415.0,1039.0,1822.0,1192.0,783.0,409.0,105.0,304.0,630.0,539.0,91.0,4557.0,3830.0,2585.0,2544.0,41.0,334.0,291.0,43.0,911.0,889.0,22.0,727.0
"Florham Park","New Jersey","16000US3423910",4258.0,244.0,4014.0,2958.0,1056.0,2001.0,4014.0,3043.0,2413.0,630.0,84.0,546.0,971.0,971.0,0.0,10066.0,9095.0,7409.0,7409.0,0.0,229.0,229.0,0.0,1457.0,1399.0,58.0,971.0
"Folsom","New Jersey","16000US3423940",685.0,64.0,621.0,549.0,72.0,1492.0,621.0,499.0,371.0,128.0,29.0,99.0,122.0,87.0,35.0,1821.0,1658.0,1165.0,1152.0,13.0,108.0,96.0,12.0,385.0,318.0,67.0,163.0
"Fords","New Jersey","16000US3424030",5467.0,243.0,5224.0,4011.0,1213.0,1154.0,5224.0,3874.0,3087.0,787.0,237.0,550.0,1350.0,1171.0,179.0,14612.0,13037.0,10470.0,10424.0,46.0,750.0,670.0,80.0,1817.0,1747.0,70.0,1575.0
"Forked River","New Jersey","16000US3424180",2556.0,506.0,2050.0,1891.0,159.0,1240.0,2050.0,1341.0,1070.0,271.0,154.0,117.0,709.0,546.0,163.0,5361.0,4403.0,3454.0,3454.0,0.0,621.0,364.0,257.0,328.0,300.0,28.0,958.0
"Fort Dix","New Jersey","16000US3424300",949.0,201.0,748.0,4.0,744.0,1891.0,748.0,517.0,395.0,122.0,28.0,94.0,231.0,181.0,50.0,2213.0,1909.0,1503.0,1503.0,0.0,106.0,106.0,0.0,300.0,300.0,0.0,304.0
"Fort Lee","New Jersey","16000US3424420",18564.0,1693.0,16871.0,9975.0,6896.0,1455.0,16871.0,8904.0,6802.0,2102.0,805.0,1297.0,7967.0,7576.0,391.0,35537.0,27148.0,21084.0,21057.0,27.0,2452.0,2362.0,90.0,3612.0,3524.0,88.0,8389.0
"Franklin","New Jersey","16000US3424930",2096.0,162.0,1934.0,1443.0,491.0,1115.0,1934.0,1314.0,991.0,323.0,60.0,263.0,620.0,473.0,147.0,5015.0,4195.0,3242.0,3240.0,2.0,142.0,127.0,15.0,811.0,759.0,52.0,820.0
"Franklin Center","New Jersey","16000US3424965",2234.0,344.0,1890.0,1695.0,195.0,2001.0,1890.0,1279.0,1143.0,136.0,69.0,67.0,611.0,554.0,57.0,3905.0,3223.0,2855.0,2855.0,0.0,197.0,188.0,9.0,171.0,171.0,0.0,682.0
"Franklin Lakes","New Jersey","16000US3424990",3549.0,124.0,3425.0,3111.0,314.0,2001.0,3425.0,2951.0,2721.0,230.0,72.0,158.0,474.0,362.0,112.0,10591.0,9982.0,9197.0,9185.0,12.0,216.0,216.0,0.0,569.0,558.0,11.0,609.0
"Franklin Park","New Jersey","16000US3425020",5758.0,549.0,5209.0,3126.0,2083.0,1594.0,5209.0,3278.0,2274.0,1004.0,221.0,783.0,1931.0,1584.0,347.0,13265.0,10816.0,7378.0,7306.0,72.0,599.0,574.0,25.0,2839.0,2771.0,68.0,2449.0
"Freehold","New Jersey","16000US3425200",4075.0,196.0,3879.0,2122.0,1757.0,1237.0,3879.0,2681.0,1925.0,756.0,205.0,551.0,1198.0,977.0,221.0,11963.0,10238.0,7351.0,7140.0,211.0,945.0,828.0,117.0,1942.0,1710.0,232.0,1725.0
"Frenchtown","New Jersey","16000US3425350",649.0,30.0,619.0,423.0,196.0,1169.0,619.0,407.0,271.0,136.0,11.0,125.0,212.0,183.0,29.0,1436.0,1184.0,812.0,812.0,0.0,30.0,22.0,8.0,342.0,317.0,25.0,252.0
"Garfield","New Jersey","16000US3425770",11540.0,777.0,10763.0,4104.0,6659.0,1146.0,10763.0,7648.0,4959.0,2689.0,476.0,2213.0,3115.0,2502.0,613.0,30651.0,26567.0,17224.0,17175.0,49.0,1604.0,1399.0,205.0,7739.0,7398.0,341.0,4084.0
"Garwood","New Jersey","16000US3425800",1754.0,109.0,1645.0,1052.0,593.0,1401.0,1645.0,1130.0,957.0,173.0,63.0,110.0,515.0,352.0,163.0,4292.0,3545.0,3053.0,3053.0,0.0,143.0,143.0,0.0,349.0,335.0,14.0,747.0
"Gibbsboro","New Jersey","16000US3426070",796.0,0.0,796.0,742.0,54.0,1021.0,796.0,663.0,526.0,137.0,16.0,121.0,133.0,110.0,23.0,2293.0,2136.0,1725.0,1721.0,4.0,64.0,34.0,30.0,347.0,333.0,14.0,157.0
"Gibbstown","New Jersey","16000US3426100",1615.0,112.0,1503.0,1348.0,155.0,929.0,1503.0,1067.0,835.0,232.0,27.0,205.0,436.0,357.0,79.0,3693.0,3177.0,2525.0,2498.0,27.0,69.0,69.0,0.0,583.0,549.0,34.0,516.0
"Glassboro","New Jersey","16000US3426340",6329.0,479.0,5850.0,3956.0,1894.0,940.0,5850.0,4015.0,2778.0,1237.0,255.0,982.0,1835.0,1260.0,575.0,16012.0,13092.0,9221.0,9221.0,0.0,649.0,625.0,24.0,3222.0,3103.0,119.0,2920.0
"Glendora","New Jersey","16000US3426520",1989.0,74.0,1915.0,1581.0,334.0,387.0,1915.0,1299.0,955.0,344.0,85.0,259.0,616.0,593.0,23.0,4949.0,4309.0,3043.0,3025.0,18.0,207.0,168.0,39.0,1059.0,981.0,78.0,640.0
"Glen Gardner","New Jersey","16000US3426550",829.0,93.0,736.0,532.0,204.0,1250.0,736.0,430.0,349.0,81.0,34.0,47.0,306.0,269.0,37.0,1716.0,1371.0,1127.0,1125.0,2.0,126.0,116.0,10.0,118.0,115.0,3.0,345.0
"Glen Ridge","New Jersey","16000US3426610",2483.0,15.0,2468.0,2249.0,219.0,1601.0,2468.0,1986.0,1795.0,191.0,20.0,171.0,482.0,400.0,82.0,7503.0,6835.0,6326.0,6305.0,21.0,40.0,40.0,0.0,469.0,454.0,15.0,668.0
"Glen Rock","New Jersey","16000US3426640",3832.0,155.0,3677.0,3498.0,179.0,1222.0,3677.0,3166.0,2854.0,312.0,70.0,242.0,511.0,439.0,72.0,11611.0,11017.0,10108.0,10063.0,45.0,200.0,200.0,0.0,709.0,709.0,0.0,594.0
"Gloucester City","New Jersey","16000US3426820",4695.0,467.0,4228.0,3041.0,1187.0,1033.0,4228.0,2878.0,1765.0,1113.0,445.0,668.0,1350.0,1104.0,246.0,11455.0,9764.0,6214.0,6059.0,155.0,1300.0,1166.0,134.0,2250.0,2062.0,188.0,1691.0
"Golden Triangle","New Jersey","16000US3426902",1621.0,147.0,1474.0,1090.0,384.0,1504.0,1474.0,840.0,662.0,178.0,84.0,94.0,634.0,435.0,199.0,3686.0,2787.0,2178.0,2178.0,0.0,322.0,322.0,0.0,287.0,279.0,8.0,899.0
"Great Meadows","New Jersey","16000US3427360",76.0,0.0,76.0,76.0,0.0,,76.0,62.0,62.0,0.0,0.0,0.0,14.0,14.0,0.0,262.0,248.0,248.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
"Green Knoll","New Jersey","16000US3427840",2379.0,95.0,2284.0,1663.0,621.0,1526.0,2284.0,1353.0,1162.0,191.0,39.0,152.0,931.0,793.0,138.0,5482.0,4368.0,3782.0,3770.0,12.0,137.0,128.0,9.0,449.0,420.0,29.0,1114.0
"Greentree","New Jersey","16000US3427995",4058.0,240.0,3818.0,3381.0,437.0,1198.0,3818.0,3096.0,2633.0,463.0,124.0,339.0,722.0,616.0,106.0,11342.0,10490.0,9063.0,9063.0,0.0,366.0,348.0,18.0,1061.0,1023.0,38.0,852.0
"Greenwich","New Jersey","16000US3428250",843.0,24.0,819.0,791.0,28.0,2001.0,819.0,726.0,598.0,128.0,57.0,71.0,93.0,71.0,22.0,2813.0,2690.0,2166.0,2157.0,9.0,232.0,189.0,43.0,292.0,221.0,71.0,123.0
"Griggstown","New Jersey","16000US3428470",311.0,35.0,276.0,265.0,11.0,,276.0,187.0,173.0,14.0,0.0,14.0,89.0,41.0,48.0,763.0,628.0,574.0,574.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,135.0
"Groveville","New Jersey","16000US3428620",1240.0,92.0,1148.0,954.0,194.0,1095.0,1148.0,952.0,832.0,120.0,24.0,96.0,196.0,137.0,59.0,3467.0,3208.0,2858.0,2858.0,0.0,68.0,68.0,0.0,282.0,266.0,16.0,259.0
"Guttenberg","New Jersey","16000US3428650",5108.0,623.0,4485.0,1696.0,2789.0,1251.0,4485.0,2798.0,1597.0,1201.0,290.0,911.0,1687.0,1385.0,302.0,11061.0,8927.0,5104.0,5104.0,0.0,827.0,731.0,96.0,2996.0,2875.0,121.0,2134.0
"Hackensack","New Jersey","16000US3428680",19223.0,1579.0,17644.0,6389.0,11255.0,1225.0,17644.0,9949.0,6013.0,3936.0,1098.0,2838.0,7695.0,6221.0,1474.0,41925.0,31739.0,19140.0,18808.0,332.0,3463.0,3015.0,448.0,9136.0,8551.0,585.0,10186.0
"Hackettstown","New Jersey","16000US3428710",3926.0,205.0,3721.0,2128.0,1593.0,1019.0,3721.0,2388.0,1779.0,609.0,208.0,401.0,1333.0,1053.0,280.0,9066.0,7338.0,5860.0,5816.0,44.0,415.0,393.0,22.0,1063.0,1007.0,56.0,1728.0
"Haddonfield","New Jersey","16000US3428770",4572.0,291.0,4281.0,3630.0,651.0,1146.0,4281.0,3111.0,2748.0,363.0,70.0,293.0,1170.0,1031.0,139.0,11535.0,10134.0,9031.0,8986.0,45.0,203.0,189.0,14.0,900.0,871.0,29.0,1401.0
"Haddon Heights","New Jersey","16000US3428800",3067.0,84.0,2983.0,2357.0,626.0,1015.0,2983.0,1897.0,1613.0,284.0,54.0,230.0,1086.0,959.0,127.0,7510.0,6269.0,5366.0,5357.0,9.0,188.0,188.0,0.0,715.0,697.0,18.0,1241.0
"Hainesburg","New Jersey","16000US3428920",75.0,12.0,63.0,63.0,0.0,,63.0,63.0,39.0,24.0,17.0,7.0,0.0,0.0,0.0,229.0,229.0,120.0,120.0,0.0,32.0,32.0,0.0,77.0,70.0,7.0,0.0
"Haledon","New Jersey","16000US3429070",2467.0,90.0,2377.0,1182.0,1195.0,1218.0,2377.0,1749.0,1046.0,703.0,255.0,448.0,628.0,538.0,90.0,8177.0,7374.0,4679.0,4607.0,72.0,1218.0,1094.0,124.0,1477.0,1423.0,54.0,803.0
"Hamburg","New Jersey","16000US3429220",1544.0,60.0,1484.0,1280.0,204.0,1390.0,1484.0,891.0,747.0,144.0,40.0,104.0,593.0,550.0,43.0,3250.0,2616.0,2193.0,2193.0,0.0,136.0,127.0,9.0,287.0,287.0,0.0,634.0
"Hamilton Square","New Jersey","16000US3429370",4540.0,51.0,4489.0,4357.0,132.0,1450.0,4489.0,3715.0,3139.0,576.0,203.0,373.0,774.0,667.0,107.0,13245.0,12315.0,10443.0,10394.0,49.0,787.0,752.0,35.0,1085.0,1074.0,11.0,930.0
"Hammonton","New Jersey","16000US3429430",5673.0,414.0,5259.0,3672.0,1587.0,996.0,5259.0,3790.0,3021.0,769.0,170.0,599.0,1469.0,1218.0,251.0,14197.0,12450.0,10168.0,10062.0,106.0,530.0,452.0,78.0,1752.0,1573.0,179.0,1747.0
"Hampton","New Jersey","16000US3429460",522.0,10.0,512.0,342.0,170.0,1027.0,512.0,325.0,253.0,72.0,0.0,72.0,187.0,122.0,65.0,1259.0,1001.0,801.0,798.0,3.0,0.0,0.0,0.0,200.0,182.0,18.0,258.0
"Hancocks Bridge","New Jersey","16000US3429520",85.0,0.0,85.0,58.0,27.0,744.0,85.0,50.0,27.0,23.0,7.0,16.0,35.0,35.0,0.0,254.0,219.0,115.0,115.0,0.0,37.0,30.0,7.0,67.0,67.0,0.0,35.0
"Harlingen","New Jersey","16000US3429940",155.0,38.0,117.0,117.0,0.0,,117.0,61.0,61.0,0.0,0.0,0.0,56.0,56.0,0.0,274.0,218.0,218.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
"Harmony","New Jersey","16000US3430060",142.0,0.0,142.0,125.0,17.0,,142.0,119.0,93.0,26.0,0.0,26.0,23.0,19.0,4.0,378.0,351.0,271.0,267.0,4.0,0.0,0.0,0.0,80.0,75.0,5.0,27.0
"Harrington Park","New Jersey","16000US3430150",1664.0,40.0,1624.0,1521.0,103.0,1420.0,1624.0,1258.0,1092.0,166.0,52.0,114.0,366.0,283.0,83.0,4710.0,4263.0,3693.0,3680.0,13.0,157.0,145.0,12.0,413.0,413.0,0.0,447.0
"Harrison","New Jersey","16000US3430210",5248.0,377.0,4871.0,1540.0,3331.0,1164.0,4871.0,3470.0,2368.0,1102.0,359.0,743.0,1401.0,985.0,416.0,13674.0,11442.0,7804.0,7770.0,34.0,1085.0,958.0,127.0,2553.0,2410.0,143.0,2232.0
"Harvey Cedars","New Jersey","16000US3430390",1218.0,959.0,259.0,250.0,9.0,488.0,259.0,173.0,164.0,9.0,4.0,5.0,86.0,71.0,15.0,513.0,412.0,394.0,394.0,0.0,8.0,8.0,0.0,10.0,10.0,0.0,101.0
"Hasbrouck Heights","New Jersey","16000US3430420",4516.0,191.0,4325.0,3014.0,1311.0,1286.0,4325.0,3327.0,2697.0,630.0,220.0,410.0,998.0,871.0,127.0,11811.0,10618.0,8960.0,8897.0,63.0,627.0,556.0,71.0,1031.0,992.0,39.0,1193.0
"Haworth","New Jersey","16000US3430540",1148.0,18.0,1130.0,1078.0,52.0,2001.0,1130.0,945.0,825.0,120.0,38.0,82.0,185.0,151.0,34.0,3374.0,3152.0,2821.0,2815.0,6.0,88.0,88.0,0.0,243.0,243.0,0.0,222.0
"Hawthorne","New Jersey","16000US3430570",7363.0,435.0,6928.0,4661.0,2267.0,1379.0,6928.0,4869.0,3572.0,1297.0,301.0,996.0,2059.0,1623.0,436.0,18730.0,16017.0,11854.0,11767.0,87.0,1009.0,914.0,95.0,3154.0,3054.0,100.0,2713.0
"Heathcote","New Jersey","16000US3430738",2435.0,118.0,2317.0,2003.0,314.0,1260.0,2317.0,1453.0,1242.0,211.0,28.0,183.0,864.0,673.0,191.0,5796.0,4737.0,4123.0,4123.0,0.0,93.0,93.0,0.0,521.0,486.0,35.0,1059.0
"Helmetta","New Jersey","16000US3430840",893.0,6.0,887.0,816.0,71.0,1594.0,887.0,617.0,500.0,117.0,35.0,82.0,270.0,225.0,45.0,2231.0,1901.0,1585.0,1577.0,8.0,123.0,78.0,45.0,193.0,193.0,0.0,330.0
"High Bridge","New Jersey","16000US3431320",1552.0,70.0,1482.0,1243.0,239.0,1353.0,1482.0,1063.0,811.0,252.0,81.0,171.0,419.0,363.0,56.0,3641.0,3146.0,2529.0,2529.0,0.0,203.0,196.0,7.0,414.0,414.0,0.0,495.0
"Highland Lake","New Jersey","16000US3431405",2373.0,534.0,1839.0,1607.0,232.0,1165.0,1839.0,1435.0,1037.0,398.0,128.0,270.0,404.0,310.0,94.0,4712.0,4216.0,3123.0,3123.0,0.0,369.0,358.0,11.0,724.0,670.0,54.0,496.0
"Highland Park","New Jersey","16000US3431470",6132.0,404.0,5728.0,2471.0,3257.0,1250.0,5728.0,3212.0,2620.0,592.0,215.0,377.0,2516.0,1802.0,714.0,14037.0,10521.0,8649.0,8613.0,36.0,663.0,565.0,98.0,1209.0,1118.0,91.0,3516.0
"Highlands","New Jersey","16000US3431500",2989.0,629.0,2360.0,1624.0,736.0,1240.0,2360.0,1208.0,994.0,214.0,116.0,98.0,1152.0,975.0,177.0,5005.0,3608.0,2872.0,2830.0,42.0,413.0,413.0,0.0,323.0,237.0,86.0,1397.0
"Hightstown","New Jersey","16000US3431620",2029.0,70.0,1959.0,1265.0,694.0,1056.0,1959.0,1316.0,1000.0,316.0,144.0,172.0,643.0,429.0,214.0,5462.0,4478.0,3650.0,3553.0,97.0,381.0,333.0,48.0,447.0,405.0,42.0,984.0
"Hillsdale","New Jersey","16000US3431920",3602.0,100.0,3502.0,3028.0,474.0,1235.0,3502.0,2823.0,2418.0,405.0,40.0,365.0,679.0,650.0,29.0,10209.0,9470.0,8183.0,8153.0,30.0,122.0,109.0,13.0,1165.0,1069.0,96.0,739.0
"Hi Nella","New Jersey","16000US3432220",393.0,10.0,383.0,112.0,271.0,948.0,383.0,215.0,150.0,65.0,23.0,42.0,168.0,151.0,17.0,881.0,681.0,493.0,493.0,0.0,66.0,58.0,8.0,122.0,120.0,2.0,200.0
"Hoboken","New Jersey","16000US3432250",26446.0,1959.0,24487.0,7626.0,16861.0,1702.0,24487.0,9884.0,7297.0,2587.0,396.0,2191.0,14603.0,9538.0,5065.0,49696.0,27170.0,19835.0,19781.0,54.0,1042.0,905.0,137.0,6293.0,5918.0,375.0,22526.0
"Ho Ho Kus","New Jersey","16000US3432310",1513.0,138.0,1375.0,1256.0,119.0,1958.0,1375.0,1101.0,1013.0,88.0,9.0,79.0,274.0,245.0,29.0,4072.0,3696.0,3442.0,3442.0,0.0,18.0,18.0,0.0,236.0,236.0,0.0,376.0
"Holiday City Berkeley","New Jersey","16000US3432415",8936.0,1215.0,7721.0,7141.0,580.0,1226.0,7721.0,3604.0,3080.0,524.0,146.0,378.0,4117.0,3955.0,162.0,12033.0,7728.0,6537.0,6537.0,0.0,381.0,381.0,0.0,810.0,810.0,0.0,4305.0
"Holiday City South","New Jersey","16000US3432418",2403.0,107.0,2296.0,2094.0,202.0,1383.0,2296.0,1143.0,949.0,194.0,46.0,148.0,1153.0,1133.0,20.0,3809.0,2634.0,2170.0,2121.0,49.0,93.0,93.0,0.0,371.0,360.0,11.0,1175.0
"Holiday Heights","New Jersey","16000US3432424",1396.0,31.0,1365.0,1311.0,54.0,1682.0,1365.0,806.0,684.0,122.0,0.0,122.0,559.0,514.0,45.0,2262.0,1654.0,1354.0,1354.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,608.0
"Hopatcong","New Jersey","16000US3432910",6596.0,797.0,5799.0,5347.0,452.0,1528.0,5799.0,4190.0,3490.0,700.0,233.0,467.0,1609.0,1209.0,400.0,15153.0,12948.0,10898.0,10870.0,28.0,607.0,560.0,47.0,1443.0,1270.0,173.0,2205.0
"Hope","New Jersey","16000US3433030",104.0,21.0,83.0,72.0,11.0,1694.0,83.0,65.0,56.0,9.0,0.0,9.0,18.0,18.0,0.0,239.0,221.0,175.0,151.0,24.0,0.0,0.0,0.0,46.0,36.0,10.0,18.0
"Hopewell","New Jersey","16000US3433150",829.0,50.0,779.0,622.0,157.0,1355.0,779.0,576.0,486.0,90.0,25.0,65.0,203.0,168.0,35.0,1905.0,1661.0,1443.0,1440.0,3.0,65.0,61.0,4.0,153.0,153.0,0.0,244.0
"Hutchinson","New Jersey","16000US3433690",58.0,0.0,58.0,55.0,3.0,,58.0,58.0,47.0,11.0,6.0,5.0,0.0,0.0,0.0,153.0,153.0,131.0,131.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0
"Interlaken","New Jersey","16000US3434200",386.0,20.0,366.0,335.0,31.0,2001.0,366.0,249.0,213.0,36.0,7.0,29.0,117.0,88.0,29.0,821.0,673.0,572.0,572.0,0.0,19.0,16.0,3.0,82.0,80.0,2.0,148.0
"Iselin","New Jersey","16000US3434470",6548.0,223.0,6325.0,3980.0,2345.0,1507.0,6325.0,5100.0,4021.0,1079.0,335.0,744.0,1225.0,961.0,264.0,20186.0,18452.0,14237.0,14150.0,87.0,1232.0,1207.0,25.0,2983.0,2713.0,270.0,1734.0
"Island Heights","New Jersey","16000US3434530",778.0,119.0,659.0,591.0,68.0,1389.0,659.0,443.0,353.0,90.0,28.0,62.0,216.0,187.0,29.0,1528.0,1271.0,1049.0,1044.0,5.0,64.0,62.0,2.0,158.0,158.0,0.0,257.0
"Jamesburg","New Jersey","16000US3434890",2478.0,200.0,2278.0,1300.0,978.0,1064.0,2278.0,1492.0,1082.0,410.0,145.0,265.0,786.0,676.0,110.0,5850.0,4936.0,3519.0,3519.0,0.0,487.0,415.0,72.0,930.0,845.0,85.0,914.0
