County,Municipality,DLGSCode,LD,CD,Area15,Area16,Area17,Area18,Dens15,Dens16,Dens17,Dens18,Pop15,Pop16,Pop17,Pop18,PopE15,PopE16,PopE17,PopE18,PopCh15,PopCh16,PopCh17,PopCh18
Bergen,Emerson,214,39,5,2.2,2.2,2.2,2.2,3499,3486,3518,3474,7401,7401,7401,7401,7697,7669,7739,7643,4,3.62,4.57,3.27
Bergen,Englewood,215,37,9,4.91,4.91,4.91,4.91,5812,5795,5929,5830,27147,27147,27147,27147,28539,28455,29112,28624,5.13,4.82,7.24,5.44
Bergen,Englewood Cliffs,216,37,9,2.09,2.09,2.09,2.09,2585,2587,2609,2577,5281,5281,5281,5281,5403,5406,5453,5385,2.31,2.37,3.26,1.97
Bergen,Fair Lawn,217,38,5,5.14,5.14,5.14,5.14,6536,6508,6558,6445,32457,32457,32457,32457,33597,33453,33710,33128,3.51,3.07,3.86,2.07
Bergen,Fairview,218,32,8,0.84,0.84,0.84,0.84,17204,17168,17306,17018,13835,13835,13835,13835,14451,14421,14537,14295,4.45,4.24,5.07,3.32
Bergen,Fort Lee,219,37,9,2.54,2.54,2.54,2.54,14438,14794,14924,14930,35345,35345,35345,35345,36672,37577,37907,37921,3.75,6.31,7.25,7.29
Bergen,Franklin Lakes,220,40,5,9.38,9.38,9.38,9.38,1162,1157,1200,1183,10590,10590,10590,10590,10899,10852,11255,11096,2.92,2.47,6.28,4.78
Bergen,Garfield,221,35,9,2.1,2.1,2.1,2.1,15144,15179,15425,15174,30487,30487,30487,30487,31802,31876,32393,31866,4.31,4.56,6.25,4.52
Bergen,Glen Rock,222,38,5,2.71,2.71,2.71,2.71,4428,4408,4445,4365,11601,11601,11601,11601,11999,11946,12045,11829,3.43,2.97,3.83,1.97
Bergen,Hackensack,223,37,5,4.18,4.18,4.18,4.18,10726,10707,10825,10651,43010,43010,43010,43010,44834,44756,45248,44522,4.24,4.06,5.2,3.52
Bergen,Harrington Park,224,39,5,1.83,1.83,1.83,1.83,2636,2626,2648,2602,4664,4664,4664,4664,4823,4806,4846,4762,3.41,3.04,3.9,2.1
Bergen,Hasbrouck Heights,225,38,9,1.51,1.51,1.51,1.51,8097,8068,8130,8000,11842,11842,11842,11842,12227,12182,12277,12080,3.25,2.87,3.67,2.01
Bergen,Haworth,226,39,5,1.94,1.94,1.94,1.94,1789,1786,1803,1768,3382,3382,3382,3382,3470,3464,3497,3430,2.6,2.42,3.4,1.42
Bergen,Hillsdale,227,39,5,2.95,2.95,2.95,2.95,3579,3563,3587,3527,10219,10219,10219,10219,10559,10510,10581,10405,3.33,2.85,3.54,1.82
Bergen,Ho-Ho-Kus,228,40,5,1.74,1.74,1.74,1.74,2394,2380,2404,2360,4078,4078,4078,4078,4165,4142,4183,4107,2.13,1.57,2.57,0.71
Bergen,Leonia,229,37,9,1.54,1.54,1.54,1.54,5986,5971,6014,5916,8937,8937,8937,8937,9219,9195,9262,9110,3.16,2.89,3.64,1.94
Bergen,Little Ferry,230,36,9,1.48,1.48,1.48,1.48,7407,7382,7432,7312,10626,10626,10626,10626,10963,10925,11000,10822,3.17,2.81,3.52,1.84
Bergen,Lodi,231,38,5,2.26,2.26,2.26,2.26,10989,10964,11045,10863,24136,24136,24136,24136,24835,24778,24961,24551,2.9,2.66,3.42,1.72
Bergen,Lyndhurst,232,36,9,4.56,4.56,4.56,4.56,4887,4877,4918,4952,20554,20554,20554,20554,22286,22239,22426,22580,8.43,8.2,9.11,9.86
Bergen,Mahwah,233,39,5,25.69,25.69,25.69,25.69,1035,1033,1042,1027,25890,25890,25890,25890,26590,26541,26759,26380,2.7,2.51,3.36,1.89
Bergen,Maywood,234,38,5,1.29,1.29,1.29,1.29,7601,7585,7643,7515,9555,9555,9555,9555,9805,9785,9860,9694,2.62,2.41,3.19,1.45
Bergen,Midland Park,235,40,5,1.56,1.56,1.56,1.56,4698,4692,4733,4657,7128,7128,7128,7128,7329,7319,7384,7265,2.82,2.68,3.59,1.92
