geoid,ams_bus,bus_vac,bus_vac_rate
72001956700,141,29,0.20567375886524822
72003430300,248,27,0.10887096774193548
72013301200,397,9,0.022670025188916875
72023830603,37,5,0.13513513513513514
72023830400,485,56,0.1154639175257732
72059740300,332,15,0.045180722891566265
72055961400,77,8,0.1038961038961039
72065310200,381,35,0.09186351706036745
72071410402,66,10,0.15151515151515152
72091570100,660,31,0.04696969696969697
72097080900,33,6,0.18181818181818182
72125840700,312,62,0.1987179487179487
72145560402,54,5,0.09259259259259259
72101955300,42,11,0.2619047619047619
72025202602,6,2,0.3333333333333333
72113073009,9,0,0
72113072900,27,1,0.037037037037037035
72035260800,134,21,0.15671641791044777
72053150104,59,9,0.15254237288135594
72119130102,10,0,0
72085190201,108,34,0.3148148148148148
72069180400,19,3,0.15789473684210525
72075710902,21,0,0
72075710302,8,0,0
72127002600,82,16,0.1951219512195122
72127004400,70,19,0.2714285714285714
72127980101,55,11,0.2
72127006102,438,120,0.273972602739726
72127008601,167,66,0.39520958083832336
72137121100,156,0,0
72021031201,85,25,0.29411764705882354
72021031612,87,15,0.1724137931034483
72127006700,407,107,0.2628992628992629
72021030901,74,13,0.17567567567567569
72139060223,85,9,0.10588235294117647
72031050902,35,2,0.05714285714285714
25027711000,68,11,0.16176470588235295
25027761400,552,40,0.07246376811594203
25017327102,233,5,0.02145922746781116
25027712102,36,3,0.08333333333333333
25027713100,134,0,0
25027739300,283,6,0.02120141342756184
25027726100,129,18,0.13953488372093023
25027754400,28,5,0.17857142857142858
25027754100,165,8,0.048484848484848485
25027732301,88,4,0.045454545454545456
25027731102,280,5,0.017857142857142856
25027730200,78,10,0.1282051282051282
25027732400,72,3,0.041666666666666664
25027730600,90,5,0.05555555555555555
25017384001,126,8,0.06349206349206349
25017383700,215,6,0.027906976744186046
25017384002,67,11,0.16417910447761194
25017383300,511,33,0.06457925636007827
25017385201,171,1,0.005847953216374269
25017382500,472,16,0.03389830508474576
25017333300,275,14,0.05090909090909091
25017332400,1320,212,0.1606060606060606
25017316300,324,44,0.13580246913580246
25017317202,23,2,0.08695652173913043
25009260500,25,0,0
25009251200,74,0,0
25009253205,1,0,0
25017312200,250,24,0.096
25017315402,127,14,0.11023622047244094
25017315401,77,5,0.06493506493506493
25017318200,55,9,0.16363636363636364
25017335200,84,2,0.023809523809523808
25009206400,44,2,0.045454545454545456
25009205100,31,2,0.06451612903225806
25017338500,481,9,0.018711018711018712
25009217300,1063,61,0.05738476011288805
25009266300,377,10,0.026525198938992044
25009221901,136,8,0.058823529411764705
25009268400,154,18,0.11688311688311688
25009204300,508,97,0.19094488188976377
25021402500,589,32,0.05432937181663837
25021423100,501,24,0.04790419161676647
25023501101,232,19,0.08189655172413793
25021410400,438,7,0.01598173515981735
25023500103,74,9,0.12162162162162163
25021414100,123,2,0.016260162601626018
25021411100,635,44,0.06929133858267716
25025030300,2894,312,0.1078092605390463
25025020200,108,1,0.009259259259259259
25025020303,583,48,0.0823327615780446
25025090300,54,6,0.1111111111111111
25025080900,155,5,0.03225806451612903
25025081100,33,2,0.06060606060606061
25025080100,336,43,0.12797619047619047
25025040600,284,35,0.12323943661971831
25025110502,196,18,0.09183673469387756
25025000701,29,0,0
25025000802,653,109,0.1669218989280245
25025140300,554,23,0.04151624548736462
25017354300,83,3,0.03614457831325301
25017352102,343,18,0.052478134110787174
25017352600,28,0,0
25017354700,262,17,0.0648854961832061
25017341300,698,37,0.05300859598853868
25017342201,62,0,0
25017341400,83,7,0.08433734939759036
25017342300,108,6,0.05555555555555555
25017341102,73,3,0.0410958904109589
25025170400,177,2,0.011299435028248588
25025170502,32,2,0.0625
25017339200,46,0,0
25021418002,152,3,0.019736842105263157
25021419400,104,7,0.0673076923076923
25021422800,68,9,0.1323529411764706
25025010203,204,13,0.06372549019607843
25023511600,465,24,0.05161290322580645
25023510800,99,6,0.06060606060606061
25023522102,173,40,0.23121387283236994
25023522101,190,2,0.010526315789473684
25023540103,60,2,0.03333333333333333
25023530802,152,4,0.02631578947368421
25023530100,364,35,0.09615384615384616
25023530300,754,50,0.06631299734748011
25005600203,74,2,0.02702702702702703
25021420202,115,14,0.12173913043478261
25023543100,38,0,0
25023521102,104,5,0.04807692307692308
25023502101,394,16,0.04060913705583756
25023524101,290,19,0.06551724137931035
25023524102,254,27,0.1062992125984252
25021400500,110,5,0.045454545454545456
25017368600,148,6,0.04054054054054054
25001014700,121,14,0.11570247933884298
25001014500,84,11,0.13095238095238096
25019950100,666,10,0.015015015015015015
25001012800,311,22,0.0707395498392283
25001013002,502,23,0.045816733067729085
25001010100,488,25,0.05122950819672131
25001012001,280,34,0.12142857142857143
25001012200,399,0,0
33011001800,78,7,0.08974358974358974
33001966000,315,27,0.08571428571428572
33013043001,127,11,0.08661417322834646
33011001000,353,46,0.13031161473087818
33011002901,675,7,0.01037037037037037
33013044200,184,20,0.10869565217391304
33013003001,393,31,0.07888040712468193
33011011102,612,65,0.10620915032679738
33011012300,328,29,0.08841463414634146
33015004000,313,0,0
33015003301,5,0,0
33013032500,178,22,0.12359550561797752
33011021000,120,0,0
33013033000,93,0,0
33013032706,58,9,0.15517241379310345
33013032100,132,6,0.045454545454545456
33017081200,95,9,0.09473684210526316
33015062000,12,0,0
33009960300,87,6,0.06896551724137931
33015104102,154,0,0
23031035000,92,7,0.07608695652173914
23031038002,248,9,0.036290322580645164
33005971600,41,0,0
23005004200,198,0,0
23031025202,422,47,0.11137440758293839
23005016500,30,0,0
23005002501,329,18,0.0547112462006079
23005002600,89,7,0.07865168539325842
23005003300,206,23,0.11165048543689321
23005002102,486,48,0.09876543209876543
23023970302,190,11,0.05789473684210526
23031034002,45,0,0
23005003702,49,0,0
23001020600,350,18,0.05142857142857143
23001041500,80,3,0.0375
23007970602,20,0,0
23001020100,663,83,0.12518853695324283
23017965700,21,0,0
23005012000,208,0,0
23031028002,675,107,0.15851851851851853
23005017101,59,0,0
23005017001,84,0,0
23005002400,57,4,0.07017543859649122
23001041000,70,0,0
23023970100,98,6,0.061224489795918366
23001046500,63,0,0
23011014000,206,18,0.08737864077669903
23011020000,61,0,0
23009965900,552,50,0.09057971014492754
23029955700,116,42,0.3620689655172414
23009965100,37,0,0
23019013500,18,0,0
23003951300,138,25,0.18115942028985507
23003951200,183,47,0.2568306010928962
23003951700,120,37,0.30833333333333335
23003951800,512,81,0.158203125
23013970600,337,51,0.1513353115727003
23019004200,456,44,0.09649122807017543
23021960301,4,0,0
23019031000,62,7,0.11290322580645161
23021960302,0,0,NA
23007971200,441,22,0.049886621315192746
23011023001,88,14,0.1590909090909091
50003970700,22,0,0
50027966300,227,45,0.19823788546255505
50025967600,93,2,0.021505376344086023
50001960600,30,0,0
50007002301,46,0,0
50001960500,159,23,0.14465408805031446
50027965400,39,0,0
50017959102,17,0,0
50027965501,54,4,0.07407407407407407
50017959300,18,0,0
23025966000,166,25,0.15060240963855423
50007002102,185,0,0
50015953100,52,0,0
50007002701,637,0,0
50001960200,60,0,0
50001960700,147,7,0.047619047619047616
50001961000,20,0,0
50005957100,19,0,0
50005957700,43,0,0
25015820801,114,17,0.14912280701754385
25013813000,121,16,0.1322314049586777
25013813802,39,1,0.02564102564102564
25015820204,62,21,0.3387096774193548
25013811900,28,2,0.07142857142857142
25013810901,352,48,0.13636363636363635
25013801501,62,12,0.1935483870967742
25013801101,1690,367,0.21715976331360948
25003900400,82,12,0.14634146341463414
25003900900,168,16,0.09523809523809523
25013801901,165,32,0.19393939393939394
25003900100,1416,107,0.07556497175141243
25013801601,47,9,0.19148936170212766
25015822606,26,3,0.11538461538461539
25013812300,769,126,0.16384915474642392
25003934200,86,2,0.023255813953488372
25003932200,30,2,0.06666666666666667
25003933300,59,3,0.05084745762711865
25027703300,92,11,0.11956521739130435
25027761100,1,0,0
25013812500,325,53,0.16307692307692306
25013812403,97,14,0.14432989690721648
25005642100,140,20,0.14285714285714285
25005641600,16,3,0.1875
25005640200,315,42,0.13333333333333333
25005646104,161,4,0.024844720496894408
25005616100,55,2,0.03636363636363636
44009050700,191,33,0.17277486910994763
44001030901,87,21,0.2413793103448276
44003020703,293,8,0.027303754266211604
44009050402,69,17,0.2463768115942029
44009050102,486,14,0.02880658436213992
44007012702,280,32,0.11428571428571428
25005652200,43,7,0.16279069767441862
25005650101,138,8,0.057971014492753624
25005652700,85,23,0.27058823529411763
25005651300,119,13,0.1092436974789916
25005653304,25,3,0.12
25005650102,113,36,0.3185840707964602
44007016800,84,9,0.10714285714285714
44007017100,215,44,0.20465116279069767
44009051305,82,17,0.2073170731707317
44007003400,71,1,0.014084507042253521
44007017900,63,10,0.15873015873015872
44007017700,44,10,0.22727272727272727
44007017500,75,21,0.28
44007000200,323,11,0.034055727554179564
44007000500,113,18,0.1592920353982301
44007013900,657,32,0.0487062404870624
09003471300,732,94,0.1284153005464481
09003462101,16,0,0
44007014000,353,15,0.042492917847025496
09003462201,1125,125,0.1111111111111111
44007010702,49,10,0.20408163265306123
44007014502,90,4,0.044444444444444446
44007014800,124,10,0.08064516129032258
44007018100,83,19,0.2289156626506024
44003021800,125,26,0.208
44003020400,84,12,0.14285714285714285
09003460301,73,8,0.1095890410958904
09003400200,168,12,0.07142857142857142
09003468102,233,2,0.008583690987124463
09003514200,183,18,0.09836065573770492
09003514800,42,6,0.14285714285714285
09003464102,596,44,0.0738255033557047
09003406100,854,37,0.04332552693208431
09003405900,71,8,0.11267605633802817
09003515102,77,6,0.07792207792207792
09003496300,41,3,0.07317073170731707
09003480500,131,27,0.20610687022900764
09003477200,11,0,0
09013850200,47,2,0.0425531914893617
09003496100,787,91,0.1156289707750953
09003497500,269,16,0.05947955390334572
09003504000,25,1,0.04
09003503900,69,8,0.11594202898550725
09003487100,193,19,0.09844559585492228
09003477101,285,13,0.0456140350877193
09003415400,179,26,0.1452513966480447
09003417100,783,121,0.1545338441890166
09011709100,58,6,0.10344827586206896
09011705300,671,55,0.08196721311475409
09015903100,523,58,0.11089866156787763
09011705400,114,33,0.2894736842105263
09007590100,104,9,0.08653846153846154
09011715100,87,22,0.25287356321839083
09009190100,743,85,0.11440107671601615
09009170800,81,4,0.04938271604938271
09007585100,220,41,0.18636363636363637
09007542000,79,1,0.012658227848101266
09007620100,163,18,0.11042944785276074
09007640100,76,12,0.15789473684210525
09009348125,50,17,0.34
09009157400,32,0,0
09001230502,253,45,0.17786561264822134
09001230501,11,0,0
09001100200,389,28,0.07197943444730077
09009167300,199,27,0.135678391959799
09009167202,765,103,0.134640522875817
09009130200,180,24,0.13333333333333333
09011696800,385,90,0.23376623376623376
09011693300,92,8,0.08695652173913043
09009341100,112,12,0.10714285714285714
09011714101,453,25,0.05518763796909492
09007610400,117,9,0.07692307692307693
09009175800,213,19,0.0892018779342723
09003430100,599,78,0.1302170283806344
09003430301,25,0,0
09009141600,174,25,0.14367816091954022
09009142300,204,12,0.058823529411764705
09009351800,218,34,0.1559633027522936
09001080100,99,7,0.0707070707070707
09009361100,137,17,0.12408759124087591
09001080700,534,26,0.04868913857677903
09009351300,346,47,0.13583815028901733
09009345202,49,4,0.08163265306122448
09001210100,788,95,0.12055837563451777
09005360300,77,5,0.06493506493506493
09001200302,26,1,0.038461538461538464
09001210400,546,69,0.12637362637362637
09009140200,522,35,0.06704980842911877
09001072700,107,7,0.06542056074766354
09009155100,105,20,0.19047619047619047
09001072100,116,1,0.008620689655172414
09009165400,207,15,0.07246376811594203
09001072500,98,9,0.09183673469387756
09001061300,128,14,0.109375
09001220100,7,0,0
09001043800,68,8,0.11764705882352941
09001060700,99,2,0.020202020202020204
09001044600,135,13,0.0962962962962963
09001010400,58,2,0.034482758620689655
34023003500,126,20,0.15873015873015872
34013015200,28,4,0.14285714285714285
34023003700,61,4,0.06557377049180328
34017011100,81,14,0.1728395061728395
34017018500,251,19,0.07569721115537849
34013010700,42,6,0.14285714285714285
34013011400,103,30,0.2912621359223301
09001020500,27,0,0
09001021100,413,28,0.06779661016949153
09001045101,9,0,0
09001055100,219,0,0
09001060500,28,1,0.03571428571428571
09001020700,166,11,0.06626506024096386
09001050400,668,31,0.04640718562874251
09001021200,355,7,0.01971830985915493
09001022000,23,4,0.17391304347826086
34039034900,141,17,0.12056737588652482
34017012600,116,7,0.0603448275862069
34017012400,97,7,0.07216494845360824
34039034600,74,4,0.05405405405405406
34003060000,242,33,0.13636363636363635
34039039300,722,69,0.09556786703601108
34039032700,278,32,0.11510791366906475
34017020000,159,10,0.06289308176100629
34039032100,55,2,0.03636363636363636
34017017800,116,8,0.06896551724137931
34017017300,33,6,0.18181818181818182
34017016400,242,15,0.06198347107438017
34031175602,222,16,0.07207207207207207
34017014400,80,6,0.075
34031175900,259,48,0.18532818532818532
34013018200,35,3,0.08571428571428572
34027041603,853,59,0.06916764361078546
34013017900,25,3,0.12
34013001700,67,19,0.2835820895522388
34013008000,1608,64,0.03980099502487562
34013000700,94,12,0.1276595744680851
34013007000,164,5,0.03048780487804878
34013007502,120,13,0.10833333333333334
34013005700,242,17,0.07024793388429752
34013009000,17,0,0
34013006800,408,31,0.07598039215686274
34017007400,336,47,0.13988095238095238
34017004700,78,13,0.16666666666666666
34017006300,84,10,0.11904761904761904
34017002900,147,16,0.10884353741496598
34017007100,96,13,0.13541666666666666
34031236601,141,13,0.09219858156028368
34027040300,103,6,0.05825242718446602
34031196402,353,13,0.036827195467422094
34039032200,99,11,0.1111111111111111
34013012400,74,7,0.0945945945945946
34039033700,74,7,0.0945945945945946
34039034300,58,6,0.10344827586206896
34039032002,70,4,0.05714285714285714
34039031700,119,12,0.10084033613445378
34039032300,513,34,0.06627680311890838
34031246202,131,5,0.03816793893129771
34031182301,45,3,0.06666666666666667
34031182100,105,6,0.05714285714285714
34003022100,165,20,0.12121212121212122
34031246001,266,48,0.18045112781954886
34003047500,95,9,0.09473684210526316
34003022200,238,13,0.0546218487394958
34031182200,115,10,0.08695652173913043
